,traj_id,time,locx,locy,mode,duration,dx,dy,distance,speed,acc,cos,TG,GSD,GG
0,GSD1,4.187797445459102,289,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,GSD1,8.667682535349996,287,152,2,4.479885089890894,-2.0,1.0,2.23606797749979,29.948107140680012,6.685016811761434,0.19757191636540133,1,1,1
2,GSD1,14.746025170163117,281,151,2,6.07834263481312,-6.0,-1.0,6.082762530298219,60.043629282690816,4.951271086569159,-0.624428442391209,1,1,1
3,GSD1,19.47332997454223,278,151,2,4.727304804379115,-3.0,0.0,3.0,38.076664706125555,-4.646826359962293,-0.7254636985092163,1,1,1
4,GSD1,24.02621721765228,274,150,2,4.5528872431100496,-4.0,-1.0,4.123105625617661,54.336144149283065,3.5712457996325773,-0.7128905934941715,1,1,1
5,GSD1,27.443191527440245,271,149,2,3.416974309787964,-3.0,-1.0,3.1622776601683795,55.527681044191596,0.34871110722002174,-0.5892459097135242,0,1,0
6,GSD1,32.979656858921324,270,153,2,5.536465331481079,-1.0,4.0,4.123105625617661,44.68308256720908,-1.9587584907862943,-0.0738915525794479,0,1,0
7,GSD1,35.31068940051297,270,156,2,2.3310325415916466,0.0,3.0,3.0,77.21899921529823,13.957727345098915,0.0,0,1,0
8,GSD1,40.03925536528946,270,159,2,4.728565964776493,0.0,3.0,3.0,38.066509242090724,-8.27999234119982,0.0,0,1,0
9,GSD1,45.35714633379082,270,164,2,5.317890968501359,0.0,5.0,5.0,56.41334163805606,3.450020413099157,-0.8415597976084122,0,1,0
10,GSD1,50.81615727391973,270,169,2,5.4590109401289055,0.0,5.0,5.0,54.95500985255692,-0.2671421254680073,-0.20782561462500504,0,0,0
11,GSD1,56.540341030294975,270,171,2,5.724183756375247,0.0,2.0,2.0,20.963687594122273,-5.938195506141323,0.0,0,1,0
12,GSD2,3.92260142230377,132,168,0,0.0,0.0,0.0,0.0,0.0,-20.963687594122273,0.0,0,1,0
