ID,time,locx,locy,mode
GG1,0.0,171,213,GG
GG1,6.887620107260761,167,220,GG
GG1,13.779915165754158,167,231,GG
GG1,19.261071397701116,162,241,GG
GG1,25.247708177164622,164,240,GG
GG2,0.0,233,151,GG
GG2,6.660272685144745,227,142,GG
GG2,13.156405508737071,224,132,GG
GG2,19.052377880747265,232,129,GG
GG2,26.02485491364133,230,129,GG
GG3,0.0,45,129,GG
GG3,6.568751434576998,54,127,GG
GG3,12.496930247411555,61,135,GG
GG3,18.711216281322308,67,128,GG
GG3,23.57846517590367,69,125,GG
GG4,0.0,118,199,GG
GG4,5.280942135610711,110,197,GG
GG4,10.771470626551261,101,192,GG
GG4,17.725213111744445,92,197,GG
GG4,25.22942875213218,91,197,GG
GG5,0.0,162,199,GG
GG5,5.498110619412672,160,192,GG
GG5,11.52975855944003,157,183,GG
GG5,17.433744291523666,166,177,GG
GG5,24.256367373973116,163,177,GG
GG6,0.0,141,208,GG
GG6,4.655155167064551,147,210,GG
GG6,8.99206660985802,155,212,GG
GG6,13.786803167714986,162,212,GG
GG6,19.116239911882143,171,213,GG
GG6,24.64913207995438,173,212,GG
GG7,0.0,124,77,GG
GG7,6.692296557607113,115,82,GG
GG7,12.387236891720761,110,81,GG
GG7,18.784414723052073,108,70,GG
GG7,24.005434582283584,105,62,GG
GG7,31.920750189584496,105,64,GG
GG8,0.0,162,199,GG
GG8,6.102651717610942,161,211,GG
GG8,10.971394065798027,156,217,GG
GG8,18.52503464073769,151,229,GG
GG8,24.64906455160461,150,231,GG
GG9,0.0,103,195,GG
GG9,4.151255285502868,110,198,GG
GG9,10.801391002141179,123,202,GG
GG9,16.75355794619155,128,193,GG
GG9,22.60644684143996,122,186,GG
GG9,27.925860255114486,120,188,GG
GG10,0.0,175,169,GG
GG10,4.6502700394776975,181,167,GG
GG10,11.117412447563506,186,158,GG
GG10,17.662132635593117,192,147,GG
GG10,23.778694444190535,195,143,GG
GG11,0.0,66,180,GG
GG11,6.406967778976625,59,180,GG
GG11,12.465110523139295,52,176,GG
GG11,16.78412476955849,51,180,GG
GG11,23.55337212773794,52,181,GG
GG12,0.0,59,137,GG
GG12,4.800063782213312,63,133,GG
GG12,10.144667700204241,72,122,GG
GG12,16.971085055320145,76,113,GG
GG12,22.43446101595927,80,105,GG
GG12,27.96144429300959,86,102,GG
GG12,34.801296280924866,84,102,GG
GG13,0.0,278,151,GG
GG13,5.706748899975275,287,152,GG
GG13,11.205061153709254,299,153,GG
GG13,15.909057180963774,309,152,GG
GG13,23.32137132191968,321,151,GG
GG14,0.0,92,98,GG
GG14,5.92277503104868,99,93,GG
GG14,12.833014935453566,110,85,GG
GG14,20.613160996938305,116,87,GG
GG14,26.298187973814557,116,87,GG
GG15,0.0,104,114,GG
GG15,6.130754330880411,114,114,GG
GG15,10.425609984065025,115,109,GG
GG15,15.005938940901558,113,102,GG
GG15,21.789829868146658,114,91,GG
GG15,26.823031808331862,112,83,GG
GG15,33.289349019874166,118,77,GG
GG16,0.0,241,126,GG
GG16,7.909147878609939,228,130,GG
GG16,14.205681396280387,223,121,GG
GG16,20.41216582547586,220,113,GG
GG16,26.059789779943138,218,104,GG
GG16,31.826513118685003,212,99,GG
GG16,37.23942904240264,207,106,GG
GG16,43.25115267070639,199,112,GG
GG16,50.12672588037173,204,107,GG
GG17,0.0,176,189,GG
GG17,7.0791160717543615,169,204,GG
GG17,13.141360225982497,167,213,GG
GG17,17.99309901829735,173,212,GG
GG17,22.286244766179415,175,212,GG
GG18,0.0,131,148,GG
GG18,5.138822851336567,123,152,GG
GG18,12.047614011153776,110,150,GG
GG18,18.479164067315025,104,148,GG
GG18,24.618958370593905,91,147,GG
GG18,30.982214976376067,80,149,GG
GG18,36.7521930072717,71,148,GG
GG18,42.3107301353037,70,149,GG
GG19,0.0,149,158,GG
GG19,6.820003979998072,143,166,GG
GG19,12.114720156689398,147,170,GG
GG19,18.43851584423061,154,175,GG
GG19,24.57373390551892,158,184,GG
GG19,30.713719251061068,156,187,GG
GG20,0.0,236,75,GG
GG20,4.824303112630137,234,67,GG
GG20,11.866487441871177,223,65,GG
GG20,17.447886833030033,220,65,GG
GG20,24.196679787364204,220,65,GG
GG21,0.0,156,132,GG
GG21,6.554285440236659,155,123,GG
GG21,12.689110933670339,158,114,GG
GG21,19.574390100984232,149,111,GG
GG21,26.757202673885548,138,106,GG
GG21,33.30310075577583,138,105,GG
GG22,0.0,301,151,GG
GG22,6.959705720540993,290,153,GG
GG22,12.6272133522957,277,153,GG
GG22,18.908757873462733,269,152,GG
GG22,24.386502970601075,261,153,GG
GG22,29.54353291177809,261,148,GG
GG23,0.0,239,64,GG
GG23,4.886292866110004,240,56,GG
GG23,10.760496108726413,243,50,GG
GG23,16.05288149997091,252,49,GG
GG23,19.86145757837043,252,53,GG
GG23,26.102886858210578,255,66,GG
GG23,32.12363736256497,253,65,GG
GG24,0.0,240,56,GG
GG24,5.599287813018899,239,65,GG
GG24,11.61161425435273,245,69,GG
GG24,18.409809952560064,253,74,GG
GG24,24.411481038114168,254,62,GG
GG24,30.986943875651825,252,49,GG
GG24,37.09058116074039,253,51,GG
GG25,0.0,114,116,GG
GG25,4.668518021864798,109,115,GG
GG25,10.959505024762201,98,112,GG
GG25,16.098899507955416,90,111,GG
GG25,22.727129557766396,81,109,GG
GG25,30.20198387000982,76,112,GG
GG26,0.0,223,126,GG
GG26,6.11902237057909,221,116,GG
GG26,13.507874700928747,220,106,GG
GG26,18.893828002864893,216,99,GG
GG26,25.30079663674769,208,102,GG
GG26,31.108117063435117,202,111,GG
GG26,37.91846401209787,204,109,GG
GG27,0.0,150,110,GG
GG27,7.111035668265221,157,112,GG
GG27,13.24963738088303,161,106,GG
GG27,18.267958852027604,166,100,GG
GG27,24.25982445886148,162,91,GG
GG27,29.74354119981593,157,87,GG
GG27,35.72984231521433,151,79,GG
GG27,42.84908897565373,159,69,GG
GG27,48.94232178091068,159,71,GG
GG28,0.0,66,157,GG
GG28,5.700444034372423,66,168,GG
GG28,11.570233697069517,63,179,GG
GG28,17.386118656543598,55,175,GG
GG28,24.834352690709753,48,168,GG
GG28,32.9385078491367,52,164,GG
GG29,0.0,201,111,GG
GG29,5.3206436330976405,197,115,GG
GG29,10.86971500656198,186,120,GG
GG29,15.786544822752823,180,122,GG
GG29,19.313174306121596,182,122,GG
GG30,0.0,183,177,GG
GG30,4.880615988413746,177,184,GG
GG30,10.20520372568826,174,194,GG
GG30,18.586092420346255,171,206,GG
GG30,23.815286613411555,171,213,GG
GG30,29.368084537852187,173,212,GG
GG31,0.0,245,49,GG
GG31,6.300186637584931,241,58,GG
GG31,11.981219043344495,237,67,GG
GG31,17.69348064321755,236,76,GG
GG31,23.07844829125381,235,83,GG
