ID,locx,locy
GG1,171,213
GG1,170,213
GG1,169,212
GG1,169,211
GG1,168,212
GG1,169,213
GG1,168,213
GG1,167,213
GG1,168,214
GG1,168,215
GG1,167,216
GG1,168,216
GG1,167,217
GG1,167,218
GG1,167,219
GG1,167,220
GG1,167,221
GG1,167,222
GG1,167,223
GG1,167,224
GG1,167,225
GG1,167,226
GG1,167,227
GG1,167,228
GG1,166,229
GG1,167,229
GG1,166,230
GG1,166,231
GG1,165,231
GG1,165,232
GG1,165,233
GG1,165,234
GG1,165,235
GG1,164,236
GG1,165,236
GG1,164,237
GG1,164,238
GG1,164,239
GG1,164,240
GG1,163,241
GG1,163,240
GG2,233,151
GG2,232,150
GG2,231,149
GG2,231,148
GG2,230,148
GG2,230,147
GG2,229,147
GG2,228,147
GG2,229,146
GG2,228,146
GG2,228,145
GG2,227,144
GG2,227,143
GG2,227,142
GG2,226,141
GG2,226,140
GG2,226,139
GG2,226,138
GG2,226,137
GG2,226,136
GG2,225,136
GG2,225,135
GG2,225,134
GG2,225,133
GG2,224,132
GG2,224,133
GG2,223,132
GG2,224,131
GG2,223,130
GG2,223,129
GG2,224,130
GG2,225,131
GG2,226,131
GG2,227,131
GG2,228,131
GG2,229,130
GG2,230,130
GG2,231,129
GG2,232,130
GG2,233,129
GG2,232,129
GG2,231,130
GG3,45,129
GG3,45,128
GG3,46,128
GG3,46,127
GG3,47,127
GG3,48,127
GG3,49,127
GG3,50,127
GG3,51,127
GG3,52,127
GG3,53,127
GG3,53,128
GG3,54,127
GG3,55,126
GG3,55,127
GG3,56,128
GG3,57,129
GG3,57,128
GG3,58,129
GG3,58,130
GG3,58,131
GG3,59,132
GG3,60,133
GG3,60,134
GG3,60,135
GG3,61,136
GG3,61,135
GG3,62,134
GG3,63,134
GG3,63,133
GG3,64,132
GG3,65,131
GG3,66,130
GG3,66,129
GG3,67,128
GG3,68,128
GG3,68,127
GG3,68,126
GG3,69,126
GG3,70,125
GG3,71,124
GG3,70,124
GG3,69,125
GG4,118,199
GG4,117,199
GG4,116,198
GG4,115,198
